"idade","sexo","est_civil","raca","escola","lingua_estr","nota_CN","nota_CH","nota_LC","nota_MT","nota_RD","ESC_pai","ESC_mae","renda_fam"
24,"F","NI","pardo","não espondeu",1,500.1,548.5,561.3,476.8,620,"não","não","C"
17,"F","solteiro","branco","pública",1,536.1,545.5,561.9,629.5,800,"sim","sim","J"
19,"F","divorciado","branco","não espondeu",0,616.8,636.8,612.6,735.7,840,"sim","sim","C"
19,"M","solteiro","branco","não espondeu",1,481.8,585.8,572.7,556.2,600,"não","não","D"
18,"F","solteiro","pardo","pública",0,457.7,491.6,549.4,413.8,620,"não","não","E"
24,"F","solteiro","amarelo","não espondeu",0,NA,NA,NA,NA,NA,"não","não","M"
20,"F","solteiro","pardo","não espondeu",1,410,505.4,464.9,445.7,0,"não","não","C"
30,"F","casado","pardo","não espondeu",1,504.1,561.9,546.7,601.7,480,"não","não","C"
17,"F","solteiro","branco","pública",0,561.6,620.2,632.8,635.1,880,"não","não","E"
19,"F","solteiro","pardo","pública",0,NA,NA,NA,NA,NA,"não","não","B"
27,"M","solteiro","pardo","não espondeu",1,455.5,561.6,535.2,376.1,440,"não","não","C"
32,"M","solteiro","negro","não espondeu",0,516.1,602.8,533.9,418.1,700,"não","não","C"
21,"M","solteiro","pardo","não espondeu",0,NA,NA,NA,NA,NA,"não","não","C"
20,"F","solteiro","negro","não espondeu",0,464,529.6,602,423.3,760,"não sabe","não","B"
20,"F","solteiro","pardo","não espondeu",0,378.2,460.5,557.3,463.3,560,"não","não","H"
18,"F","solteiro","pardo","pública",0,491.6,489.1,537.7,486,660,"não","sim","C"
26,"F","solteiro","amarelo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","E"
25,"F","solteiro","branco","não espondeu",1,529.5,592.1,560.9,573.7,700,"não","não","D"
36,"M","casado","negro","não espondeu",1,NA,NA,NA,NA,NA,"não","não","A"
36,"F","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","C"
26,"M","casado","negro","não espondeu",1,NA,NA,NA,NA,NA,"não sabe","não sabe","C"
29,"F","casado","pardo","não espondeu",1,375,475.7,534.8,447.7,480,"não","não","C"
18,"F","solteiro","pardo","pública",0,546.4,615.5,621.5,714.4,820,"não","sim","C"
19,"M","solteiro","pardo","pública",0,544,593.8,550.8,653.7,580,"não","não","C"
26,"F","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não sabe","não","E"
18,"F","solteiro","pardo","não espondeu",0,462.2,511.9,529.1,629,580,"não","não","C"
33,"M","casado","pardo","não espondeu",0,NA,NA,NA,NA,NA,"não","não","C"
17,"F","solteiro","branco","não espondeu",0,515.4,545.3,575.2,618.3,760,"não","sim","H"
18,"M","solteiro","branco","pública",0,565.9,542.7,575.3,540.7,760,"não","sim","F"
25,"F","casado","branco","não espondeu",1,NA,NA,NA,NA,NA,"não","não","E"
25,"F","solteiro","negro","não espondeu",1,NA,NA,NA,NA,NA,"não","não","C"
22,"M","solteiro","negro","não espondeu",0,478.5,431.4,489.7,381.2,520,"não","não","B"
20,"M","solteiro","branco","não espondeu",0,621.4,704.3,635.8,845.4,920,"sim","sim","M"
39,"F","solteiro","branco","não espondeu",0,NA,NA,NA,NA,NA,"sim","não","C"
18,"M","solteiro","negro","pública",1,579.8,597.3,555.3,663.9,580,"sim","não","J"
19,"M","solteiro","negro","pública",0,579.8,630.8,576.8,699.8,820,"não","não","E"
18,"F","solteiro","pardo","privada",0,578.5,662.6,605.2,662.8,740,"não","sim","G"
32,"F","solteiro","branco","não espondeu",0,476.9,467.4,536,551.7,480,"não","não","C"
20,"F","solteiro","branco","não espondeu",0,496.8,559.5,515,464.3,580,"não sabe","não","B"
23,"M","solteiro","branco","não espondeu",0,NA,NA,NA,NA,NA,"sim","não","I"
27,"F","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","B"
29,"M","solteiro","branco","não espondeu",0,604.2,730.3,649.3,716.9,720,"sim","não","M"
22,"F","solteiro","branco","não espondeu",0,NA,NA,NA,NA,NA,"não","não","B"
21,"F","solteiro","branco","não espondeu",1,391.8,445.1,529.4,412.2,360,"não","não","B"
21,"M","solteiro","negro","não espondeu",0,436.7,519.4,552.6,569.8,560,"não sabe","não","C"
21,"M","solteiro","negro","não espondeu",0,567.1,684.9,624.2,718.5,980,"não","não","B"
21,"M","solteiro","pardo","não espondeu",1,448.9,473.2,526.7,412.2,480,"não","não","D"
22,"F","solteiro","negro","não espondeu",0,NA,NA,NA,NA,NA,"não sabe","não","C"
22,"M","solteiro","pardo","não espondeu",0,527.9,587.6,616.6,651.3,860,"não","não","C"
18,"F","solteiro","branco","não espondeu",0,NA,NA,NA,NA,NA,"não","não","F"
47,"M","casado","negro","não espondeu",0,489.2,612.8,602.2,661,440,"não","não","F"
17,"F","solteiro","pardo","pública",0,492.6,585.5,536.8,469.8,460,"não","não sabe","K"
27,"M","solteiro","pardo","não espondeu",0,485.6,451.1,493.5,362,520,"não sabe","não","G"
24,"F","divorciado","branco","não espondeu",1,451,479.9,488.9,456.5,600,"sim","não","E"
29,"M","divorciado","negro","não espondeu",1,643.4,601.7,574.4,483.8,640,"não sabe","não","I"
15,"M","solteiro","pardo","não espondeu",0,575.9,516.1,536.2,466.8,600,"não","sim","Q"
20,"M","solteiro","branco","não espondeu",0,533.6,599.1,569.8,729.1,600,"não","não","C"
28,"M","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","K"
47,"F","casado","branco","não espondeu",1,517.9,468.2,507.9,450.6,480,"não","não","C"
29,"M","solteiro","pardo","não espondeu",0,390.2,370.6,516.3,501.6,300,"não","não","C"
19,"M","solteiro","branco","não espondeu",0,563.6,636.2,598.2,634,880,"não","sim","C"
29,"M","casado","pardo","não espondeu",0,NA,NA,NA,NA,NA,"não","não","J"
47,"F","casado","branco","não espondeu",0,355.7,499.5,504,418.1,540,"não","não","B"
21,"M","solteiro","branco","não espondeu",0,381.2,527.9,548.9,551.1,420,"não","não","F"
26,"M","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","D"
47,"M","divorciado","branco","não espondeu",0,544.5,586.5,555.8,525.7,580,"sim","sim","J"
21,"M","solteiro","negro","não espondeu",0,535.5,593.1,583,650.3,560,"não","não","E"
18,"M","solteiro","pardo","não espondeu",1,531.3,533.5,505.4,664.3,840,"não","sim","D"
17,"F","solteiro","negro","pública",0,544.5,567.5,587,577.8,560,"não","não","C"
29,"F","casado","pardo","não espondeu",1,408.2,581.6,533.8,574.2,520,"não","não","D"
24,"M","solteiro","branco","não espondeu",0,603.9,679.8,596.9,585.8,640,"não","sim","G"
24,"M","solteiro","negro","não espondeu",0,553.6,565.3,587.5,622.5,500,"não","não","C"
28,"M","solteiro","pardo","não espondeu",0,579.4,530.2,580.1,639.3,620,"não","não","G"
18,"F","solteiro","negro","não espondeu",0,562,502.2,532.3,478.7,640,"não","não","B"
25,"M","solteiro","branco","não espondeu",1,NA,NA,NA,NA,NA,"não","não","D"
25,"F","solteiro","branco","não espondeu",0,NA,NA,NA,NA,NA,"não","não","D"
18,"F","solteiro","negro","não espondeu",1,545.5,512.7,531.7,416.6,720,"não","não","C"
22,"F","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","C"
19,"F","solteiro","pardo","não espondeu",0,NA,NA,NA,NA,NA,"não","não","C"
18,"F","solteiro","pardo","privada",0,605.5,610.4,582.5,721.7,860,"sim","sim","Q"
19,"F","solteiro","pardo","não espondeu",1,484.8,544.4,557.4,468.1,840,"não","não","E"
19,"F","solteiro","branco","não espondeu",1,476.4,502.5,531.4,388.7,660,"não sabe","não","C"
24,"M","solteiro","branco","não espondeu",0,NA,NA,NA,NA,NA,"não","não","D"
30,"M","solteiro","negro","não espondeu",0,609.8,608.8,605.3,647.9,620,"não","não","C"
17,"F","solteiro","pardo","não espondeu",0,409.5,407.1,530.1,479.6,580,"não","não","E"
20,"F","solteiro","pardo","não espondeu",0,471.4,475.3,501.3,485.3,660,"não","não","C"
31,"F","solteiro","pardo","não espondeu",1,523.1,462.2,518.2,455.6,700,"não","não","C"
33,"F","solteiro","pardo","não espondeu",0,562.2,699,611.1,449,760,"sim","não","G"
17,"F","solteiro","negro","privada",0,507.5,522.4,558.2,678.1,640,"não","não","E"
19,"F","solteiro","branco","não espondeu",0,553.4,565.7,578.1,454.8,620,"não","não","C"
38,"F","solteiro","negro","pública",1,416.8,519.3,488.6,432.2,460,"não","não","C"
19,"F","solteiro","branco","não espondeu",1,511.3,598.8,577.6,692.3,920,"sim","sim","G"
19,"M","solteiro","amarelo","não espondeu",0,534.1,559.1,544.2,694.2,840,"não sabe","não","E"
18,"F","solteiro","pardo","pública",0,NA,NA,NA,NA,NA,"não","não","D"
18,"M","solteiro","branco","pública",0,549.6,596.5,552.2,698.4,840,"não sabe","não","C"
18,"F","solteiro","branco","não espondeu",0,613.2,663.8,626.7,726,840,"sim","sim","D"
35,"F","divorciado","branco","não espondeu",1,NA,NA,NA,NA,NA,"não","não","E"
18,"F","solteiro","branco","pública",0,572.7,686.6,608.5,719.1,860,"não sabe","sim","N"
24,"F","solteiro","branco","não espondeu",1,638.1,654.9,588.1,705.1,940,"não","não","K"
40,"F","casado","branco","não espondeu",1,482.3,469.4,559.1,603.2,500,"não","não","C"
31,"F","casado","ND","não espondeu",1,NA,NA,NA,NA,NA,"não","não","D"
19,"M","solteiro","negro","pública",1,421.6,381,463,449,420,"não","não sabe","C"
18,"F","solteiro","ND","pública",0,585.3,647.2,606,720.5,960,"não","não","D"
23,"F","solteiro","negro","não espondeu",0,NA,NA,NA,NA,NA,"não","não","B"
40,"F","solteiro","ND","não espondeu",1,NA,NA,NA,NA,NA,"não","não","E"
20,"M","solteiro","negro","não espondeu",1,396.5,549.6,547.6,409.3,560,"não","não","B"
43,"F","divorciado","amarelo","não espondeu",1,517.5,490.7,519.8,512.4,600,"não","não","C"
31,"F","casado","negro","não espondeu",1,539.4,554.9,539.7,533.1,460,"não","não","E"
18,"F","solteiro","branco","pública",0,589.9,576.6,593.9,648.2,800,"não","não","G"
22,"M","solteiro","pardo","não espondeu",0,594.3,587.3,596.9,646.4,680,"não","não","C"
25,"F","casado","pardo","não espondeu",1,446.3,508.4,462.8,619.6,300,"não","não","E"
21,"F","solteiro","branco","não espondeu",0,NA,NA,NA,NA,NA,"não","não","G"
23,"F","casado","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","B"
25,"F","casado","branco","não espondeu",1,441.5,522.4,511.5,407.5,500,"não","não","B"
20,"F","solteiro","pardo","não espondeu",0,NA,587.1,610.1,NA,840,"não","não","C"
24,"F","casado","negro","não espondeu",0,NA,NA,NA,NA,NA,"não","não","C"
34,"F","solteiro","branco","não espondeu",0,NA,NA,NA,NA,NA,"não","não","C"
28,"F","solteiro","pardo","não espondeu",1,371.8,NA,NA,502.7,NA,"não","não","C"
18,"F","solteiro","pardo","não espondeu",0,377.8,393.7,475.6,529.3,260,"não","não","D"
